name,0,1,2,3,4,5,6,7,8,9,Mean_pk,Std_pk
rico_seq2seq_cat_0.5,0.39299999999999996,0.39399999999999996,0.44,0.496,0.36700000000000005,0.337,0.446,0.41700000000000004,0.40700000000000003,0.40700000000000003,0.4104,0.04168980690768428
rico_transformer_cat_0.5,0.501,0.413,0.39299999999999996,0.409,0.45399999999999996,0.41700000000000004,0.43,0.35600000000000004,0.47600000000000003,0.371,0.422,0.04279953270772942
rico_transformer_mean_cat_0.5,0.503,0.361,0.457,0.449,0.494,0.439,0.439,0.45399999999999996,0.48,0.39899999999999997,0.44750000000000006,0.0405123437979093
conv_re_conv_se_cat_0.5,0.344,0.3,0.373,0.33399999999999996,0.321,0.226,0.33,0.34600000000000003,0.373,0.344,0.3291,0.040188182342574284
rico_seq2seq_cat_0.6,0.484,0.409,0.426,0.406,0.431,0.486,0.47,0.429,0.48100000000000004,0.474,0.44960000000000006,0.030630703550522633
rico_transformer_cat_0.6,0.49,0.43700000000000006,0.406,0.45,0.451,0.397,0.434,0.371,0.501,0.43,0.4367,0.03774135662638533
rico_transformer_mean_cat_0.6,0.419,0.45299999999999996,0.444,0.336,0.387,0.413,0.364,0.406,0.433,0.484,0.41389999999999993,0.0413338844049286
conv_re_conv_se_cat_0.6,0.32299999999999995,0.31,0.37,0.336,0.34299999999999997,0.249,0.304,0.34,0.321,0.261,0.3157,0.03519673280291794
rico_seq2seq_cat_0.7,0.49700000000000005,0.386,0.39,0.47100000000000003,0.46299999999999997,0.429,0.44,0.373,0.46399999999999997,0.444,0.43570000000000003,0.03895137994988111
rico_transformer_cat_0.7,0.401,0.35100000000000003,0.40299999999999997,0.397,0.384,0.387,0.46,0.491,0.45299999999999996,0.406,0.4133,0.039751855302614485
rico_transformer_mean_cat_0.7,0.42,0.41,0.39,0.381,0.33299999999999996,0.38299999999999995,0.461,0.36,0.43700000000000006,0.41100000000000003,0.39859999999999995,0.03539830504416845
conv_re_conv_se_cat_0.7,0.39,0.19899999999999998,0.316,0.304,0.254,0.243,0.263,0.337,0.273,0.297,0.2876,0.050868850979749886
rico_seq2seq_cat_0.8,0.41700000000000004,0.38,0.41100000000000003,0.46299999999999997,0.364,0.374,0.353,0.40700000000000003,0.341,0.45399999999999996,0.39640000000000003,0.03908503549953613
rico_transformer_cat_0.8,0.34299999999999997,0.304,0.39,0.35,0.34299999999999997,0.424,0.426,0.39399999999999996,0.38299999999999995,0.314,0.36710000000000004,0.0405744993807687
rico_transformer_mean_cat_0.8,0.366,0.387,0.36,0.384,0.377,0.32,0.39,0.401,0.369,0.39399999999999996,0.3748,0.022039963702329458
